gps-svn71-To-TECHDEMOSAT-1_TDS-1_40076
--------------------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                      73    18 Sep 2022 09:47:44.155    18 Sep 2022 10:35:39.638          2875.483
                      74    18 Sep 2022 11:05:18.158    18 Sep 2022 11:54:03.400          2925.243
                      75    18 Sep 2022 12:31:13.467    18 Sep 2022 13:21:45.486          3032.018
                      76    18 Sep 2022 14:01:53.424    18 Sep 2022 14:52:24.939          3031.514
                      77    18 Sep 2022 15:29:38.768    18 Sep 2022 16:18:21.774          2923.007
                      78    18 Sep 2022 16:47:53.767    18 Sep 2022 17:36:18.057          2904.290
                      79    18 Sep 2022 18:11:54.719    18 Sep 2022 19:02:43.298          3048.578
                      80    18 Sep 2022 19:42:35.819    18 Sep 2022 20:33:26.875          3051.055
                      81    18 Sep 2022 21:11:53.320    18 Sep 2022 22:01:28.847          2975.527
                      82    18 Sep 2022 22:32:11.278    18 Sep 2022 23:19:22.890          2831.612
                      83    18 Sep 2022 23:53:11.139    19 Sep 2022 00:43:29.243          3018.104
                      84    19 Sep 2022 01:23:11.584    19 Sep 2022 02:13:50.306          3038.722
                      85    19 Sep 2022 02:53:04.434    19 Sep 2022 03:43:03.832          2999.398
                      86    19 Sep 2022 04:15:13.436    19 Sep 2022 05:02:26.892          2833.456
                      87    19 Sep 2022 05:34:20.738    19 Sep 2022 06:24:45.859          3025.121
                      88    19 Sep 2022 07:03:43.358    19 Sep 2022 07:54:40.579          3057.221
                      89    19 Sep 2022 08:34:24.368    19 Sep 2022 09:24:55.881          3031.513
                      90    19 Sep 2022 09:59:18.215    19 Sep 2022 10:46:35.066          2836.851
                      91    19 Sep 2022 11:16:39.898    19 Sep 2022 12:06:09.667          2969.769
                      92    19 Sep 2022 12:44:23.377    19 Sep 2022 13:35:03.445          3040.069
                      93    19 Sep 2022 14:15:10.669    19 Sep 2022 15:05:43.111          3032.443
                      94    19 Sep 2022 15:41:38.458    19 Sep 2022 16:29:43.658          2885.200
                      95    19 Sep 2022 16:58:49.038    19 Sep 2022 17:48:03.257          2954.220
                      96    19 Sep 2022 18:24:56.574    19 Sep 2022 19:15:54.835          3058.261
                      97    19 Sep 2022 19:55:58.941    19 Sep 2022 20:46:51.908          3052.967
                      98    19 Sep 2022 21:24:24.683    19 Sep 2022 22:13:27.114          2942.431
                      99    19 Sep 2022 22:42:43.968    19 Sep 2022 23:30:34.259          2870.291
                     100    20 Sep 2022 00:05:55.072    20 Sep 2022 00:56:29.261          3034.189
                     101    20 Sep 2022 01:36:34.219    20 Sep 2022 02:27:17.435          3043.215
                     102    20 Sep 2022 03:05:51.944    20 Sep 2022 03:55:32.812          2980.868
                     103    20 Sep 2022 04:25:50.283    20 Sep 2022 05:13:22.114          2851.831
                     104    20 Sep 2022 05:46:46.267    20 Sep 2022 06:37:33.765          3047.499
                     105    20 Sep 2022 07:17:06.479    20 Sep 2022 08:08:07.850          3061.371
                     106    20 Sep 2022 08:47:30.188    20 Sep 2022 09:37:52.059          3021.871
                     107    20 Sep 2022 10:10:21.374    20 Sep 2022 10:57:15.384          2814.010
                     108    20 Sep 2022 11:28:30.707    20 Sep 2022 12:18:36.409          3005.703
                     109    20 Sep 2022 12:57:41.137    20 Sep 2022 13:48:27.646          3046.509
                     110    20 Sep 2022 14:28:23.816    20 Sep 2022 15:18:54.620          3030.804
                     111    20 Sep 2022 15:53:09.432    20 Sep 2022 16:40:38.429          2848.997
                     112    20 Sep 2022 17:10:09.435    20 Sep 2022 18:00:10.343          3000.908
                     113    20 Sep 2022 18:38:09.303    20 Sep 2022 19:29:14.418          3065.115
                     114    20 Sep 2022 20:09:20.852    20 Sep 2022 21:00:14.498          3053.646
                     115    20 Sep 2022 21:36:33.657    20 Sep 2022 22:24:51.840          2898.183
                     116    20 Sep 2022 22:53:24.842    20 Sep 2022 23:42:08.105          2923.263
                     117    21 Sep 2022 00:18:54.907    21 Sep 2022 01:09:40.311          3045.404
                     118    21 Sep 2022 01:49:57.747    21 Sep 2022 02:40:44.923          3047.176
                     119    21 Sep 2022 03:18:22.611    21 Sep 2022 04:00:00.000          2497.389

Global Statistics
-----------------
Min Duration           1    14 Sep 2022 04:00:00.000    14 Sep 2022 04:05:17.426           317.426
Max Duration         113    20 Sep 2022 18:38:09.303    20 Sep 2022 19:29:14.418          3065.115
Mean Duration                                                                             2944.860
Total Duration                                                                          350438.375
