       Time (UTCG)          gps-01_svn63 - x (km)    gps-01_svn63 - y (km)    gps-01_svn63 - z (km)
14 Sep 2022 10:37:00.000             19820.509791             10748.845016             13995.424839
14 Sep 2022 10:38:00.000             19879.902492             10839.584184             13845.686016
14 Sep 2022 10:39:00.000             19938.939069             10929.180696             13694.884485
14 Sep 2022 10:40:00.000             19997.606596             11017.632829             13543.032152
14 Sep 2022 10:41:00.000             20055.892157             11104.939042             13390.140996
14 Sep 2022 10:42:00.000             20113.782846             11191.097977             13236.223069
14 Sep 2022 10:43:00.000             20171.265775             11276.108460             13081.290492
14 Sep 2022 10:44:00.000             20228.328068             11359.969500             12925.355459
14 Sep 2022 10:45:00.000             20284.956873             11442.680286             12768.430231
14 Sep 2022 10:46:00.000             20341.139356             11524.240194             12610.527140
14 Sep 2022 10:47:00.000             20396.862706             11604.648777             12451.658581
14 Sep 2022 10:48:00.000             20452.114139             11683.905774             12291.837019
14 Sep 2022 10:49:00.000             20506.880899             11762.011104             12131.074981
14 Sep 2022 10:50:00.000             20561.150260             11838.964866             11969.385060
14 Sep 2022 10:51:00.000             20614.909528             11914.767340             11806.779912
14 Sep 2022 10:52:00.000             20668.146043             11989.418990             11643.272254
14 Sep 2022 10:53:00.000             20720.847183             12062.920454             11478.874863
14 Sep 2022 10:54:00.000             20773.000366             12135.272554             11313.600578
14 Sep 2022 10:55:00.000             20824.593048             12206.476288             11147.462296
14 Sep 2022 10:56:00.000             20875.612731             12276.532836             10980.472971
14 Sep 2022 10:57:00.000             20926.046962             12345.443551             10812.645614
14 Sep 2022 10:58:00.000             20975.883337             12413.209967             10643.993292
14 Sep 2022 10:59:00.000             21025.109501             12479.833793             10474.529126
14 Sep 2022 11:00:00.000             21073.713149             12545.316913             10304.266291
14 Sep 2022 11:01:00.000             21121.682035             12609.661390             10133.218014
14 Sep 2022 11:02:00.000             21169.003965             12672.869456              9961.397573
14 Sep 2022 11:03:00.000             21215.666807             12734.943522              9788.818298
14 Sep 2022 11:04:00.000             21261.658488             12795.886168              9615.493566
14 Sep 2022 11:05:00.000             21306.966998             12855.700149              9441.436803
14 Sep 2022 11:06:00.000             21351.580391             12914.388389              9266.661483
14 Sep 2022 11:07:00.000             21395.486791             12971.953986              9091.181124
14 Sep 2022 11:08:00.000             21438.674387             13028.400203              8915.009293
14 Sep 2022 11:09:00.000             21481.131444             13083.730476              8738.159595
14 Sep 2022 11:10:00.000             21522.846295             13137.948405              8560.645683
14 Sep 2022 11:11:00.000             21563.807352             13191.057761              8382.481248
14 Sep 2022 11:12:00.000             21604.003103             13243.062478              8203.680025
14 Sep 2022 11:13:00.000             21643.422115             13293.966654              8024.255787
14 Sep 2022 11:14:00.000             21682.053037             13343.774554              7844.222344
14 Sep 2022 11:15:00.000             21719.884599             13392.490604              7663.593545
14 Sep 2022 11:16:00.000             21756.905620             13440.119390              7482.383277
14 Sep 2022 11:17:00.000             21793.105003             13486.665662              7300.605460
       Time (UTCG)          gps-01_svn63 - x (km)    gps-01_svn63 - y (km)    gps-01_svn63 - z (km)
14 Sep 2022 14:29:00.000              8169.239256             13553.531560            -21698.877543
14 Sep 2022 14:30:00.000              8009.927228             13571.118800            -21745.963822
14 Sep 2022 14:31:00.000              7850.331897             13589.355909            -21791.439034
14 Sep 2022 14:32:00.000              7690.467657             13608.244184            -21835.299621
14 Sep 2022 14:33:00.000              7530.348929             13627.784757            -21877.542142
14 Sep 2022 14:34:00.000              7369.990157             13647.978597            -21918.163267
14 Sep 2022 14:35:00.000              7209.405807             13668.826504            -21957.159787
14 Sep 2022 14:36:00.000              7048.610368             13690.329117            -21994.528604
14 Sep 2022 14:37:00.000              6887.618345             13712.486904            -22030.266739
14 Sep 2022 14:38:00.000              6726.444260             13735.300173            -22064.371327
14 Sep 2022 14:39:00.000              6565.102649             13758.769060            -22096.839621
14 Sep 2022 14:40:00.000              6403.608058             13782.893539            -22127.668990
14 Sep 2022 14:41:00.000              6241.975044             13807.673415            -22156.856920
14 Sep 2022 14:42:00.000              6080.218172             13833.108329            -22184.401015
14 Sep 2022 14:43:00.000              5918.352011             13859.197753            -22210.298994
14 Sep 2022 14:44:00.000              5756.391134             13885.940995            -22234.548697
14 Sep 2022 14:45:00.000              5594.350114             13913.337193            -22257.148079
14 Sep 2022 14:46:00.000              5432.243523             13941.385321            -22278.095215
14 Sep 2022 14:47:00.000              5270.085930             13970.084187            -22297.388297
14 Sep 2022 14:48:00.000              5107.891898             13999.432430            -22315.025635
14 Sep 2022 14:49:00.000              4945.675982             14029.428525            -22331.005661
14 Sep 2022 14:50:00.000              4783.452728             14060.070781            -22345.326920
14 Sep 2022 14:51:00.000              4621.236669             14091.357338            -22357.988082
14 Sep 2022 14:52:00.000              4459.042324             14123.286173            -22368.987933
14 Sep 2022 14:53:00.000              4296.884195             14155.855097            -22378.325378
14 Sep 2022 14:54:00.000              4134.776766             14189.061754            -22385.999442
14 Sep 2022 14:55:00.000              3972.734502             14222.903626            -22392.009271
14 Sep 2022 14:56:00.000              3810.771841             14257.378027            -22396.354129
14 Sep 2022 14:57:00.000              3648.903199             14292.482108            -22399.033401
14 Sep 2022 14:58:00.000              3487.142964             14328.212856            -22400.046592
14 Sep 2022 14:59:00.000              3325.505495             14364.567093            -22399.393325
14 Sep 2022 15:00:00.000              3164.005119             14401.541480            -22397.073347
14 Sep 2022 15:01:00.000              3002.656129             14439.132514            -22393.086522
14 Sep 2022 15:02:00.000              2841.472783             14477.336528            -22387.432837
14 Sep 2022 15:03:00.000              2680.469300             14516.149696            -22380.112397
14 Sep 2022 15:04:00.000              2519.659860             14555.568028            -22371.125431
14 Sep 2022 15:05:00.000              2359.058601             14595.587374            -22360.472284
14 Sep 2022 15:06:00.000              2198.679615             14636.203426            -22348.153427
14 Sep 2022 15:07:00.000              2038.536950             14677.411712            -22334.169449
14 Sep 2022 15:08:00.000              1878.644603             14719.207605            -22318.521060
14 Sep 2022 15:09:00.000              1719.016523             14761.586317            -22301.209091
14 Sep 2022 15:10:00.000              1559.666604             14804.542903            -22282.234494
14 Sep 2022 15:11:00.000              1400.608686             14848.072262            -22261.598343
14 Sep 2022 15:12:00.000              1241.856553             14892.169136            -22239.301833
14 Sep 2022 15:13:00.000              1083.423928             14936.828111            -22215.346278
14 Sep 2022 15:14:00.000               925.324476             14982.043620            -22189.733115
14 Sep 2022 15:15:00.000               767.571797             15027.809939            -22162.463903
14 Sep 2022 15:16:00.000               610.179425             15074.121195            -22133.540320
14 Sep 2022 15:17:00.000               453.160830             15120.971360            -22102.964165
14 Sep 2022 15:18:00.000               296.529410             15168.354256            -22070.737359
14 Sep 2022 15:19:00.000               140.298493             15216.263554            -22036.861946
14 Sep 2022 15:20:00.000               -15.518666             15264.692776            -22001.340087
14 Sep 2022 15:21:00.000              -170.908888             15313.635296            -21964.174067
14 Sep 2022 15:22:00.000              -325.859069             15363.084339            -21925.366290
14 Sep 2022 15:23:00.000              -480.356187             15413.032986            -21884.919283
14 Sep 2022 15:24:00.000              -634.387299             15463.474171            -21842.835691
14 Sep 2022 15:25:00.000              -787.939545             15514.400685            -21799.118283
14 Sep 2022 15:26:00.000              -941.000151             15565.805175            -21753.769946
14 Sep 2022 15:27:00.000             -1093.556430             15617.680145            -21706.793689
14 Sep 2022 15:28:00.000             -1245.595782             15670.017961            -21658.192641
14 Sep 2022 15:29:00.000             -1397.105699             15722.810848            -21607.970051
14 Sep 2022 15:30:00.000             -1548.073765             15776.050890            -21556.129289
14 Sep 2022 15:31:00.000             -1698.487659             15829.730039            -21502.673844
14 Sep 2022 15:32:00.000             -1848.335155             15883.840107            -21447.607327
14 Sep 2022 15:33:00.000             -1997.604127             15938.372773            -21390.933467
14 Sep 2022 15:34:00.000             -2146.282547             15993.319581            -21332.656113
14 Sep 2022 15:35:00.000             -2294.358490             16048.671946            -21272.779236
14 Sep 2022 15:36:00.000             -2441.820134             16104.421149            -21211.306922
14 Sep 2022 15:37:00.000             -2588.655762             16160.558345            -21148.243380
14 Sep 2022 15:38:00.000             -2734.853765             16217.074557            -21083.592937
14 Sep 2022 15:39:00.000             -2880.402641             16273.960686            -21017.360038
14 Sep 2022 15:40:00.000             -3025.291001             16331.207505            -20949.549248
